epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,5563.06,0.72275,0.47121,1.73068,0.63986,0.4292,0.48402,0.27531,1.73192,1.88573,3.04555,0.0008714,0.0008714,0.0008714
59,5658.08,0.70717,0.47094,1.73024,0.55246,0.53982,0.49872,0.30245,1.53514,1.58384,2.87502,0.0008516,0.0008516,0.0008516
60,5752.65,0.69409,0.45243,1.71111,0.52067,0.50885,0.47384,0.26978,1.61414,1.80938,3.02017,0.0008318,0.0008318,0.0008318
61,5847.89,0.6831,0.44966,1.72131,0.55338,0.53097,0.50602,0.30715,1.59933,1.57485,2.78296,0.000812,0.000812,0.000812
62,5943.45,0.69737,0.4609,1.71399,0.62005,0.47345,0.4946,0.30418,1.54159,1.53756,2.7861,0.0007922,0.0007922,0.0007922
63,6039.45,0.67213,0.44593,1.66547,0.59239,0.45658,0.49365,0.31446,1.5067,1.49055,2.70166,0.0007724,0.0007724,0.0007724
64,6135.58,0.6785,0.45436,1.70228,0.59974,0.53982,0.50526,0.29932,1.49147,1.4946,2.72975,0.0007526,0.0007526,0.0007526
65,6231.28,0.6663,0.44744,1.68159,0.66245,0.44248,0.50519,0.30035,1.5637,1.60922,2.89379,0.0007328,0.0007328,0.0007328
66,6325.98,0.66806,0.44852,1.65619,0.67306,0.44248,0.5021,0.29385,1.60124,1.7061,2.9427,0.000713,0.000713,0.000713
67,6421.31,0.68039,0.44911,1.68292,0.55685,0.47788,0.49501,0.28216,1.6189,1.66701,3.13114,0.0006932,0.0006932,0.0006932
68,6517.05,0.6655,0.43706,1.68571,0.58908,0.48673,0.48338,0.28917,1.48579,1.59583,2.93215,0.0006734,0.0006734,0.0006734
69,6611.92,0.65342,0.42852,1.66415,0.56383,0.48619,0.5034,0.28193,1.53255,1.67905,3.18779,0.0006536,0.0006536,0.0006536
70,6706.58,0.64547,0.42647,1.64624,0.57288,0.50885,0.50928,0.27648,1.59022,1.58488,3.08069,0.0006338,0.0006338,0.0006338
